pair,count,avg_loss_ratio,avg_stability_score
sqrt -> linear_proj_down,3,0.012791963176241745,1.0
concat -> linear_attention,3,0.014374348138385382,0.6666666666666666
linear_proj -> tied_proj,3,0.012825965657682745,0.6666666666666666
tropical_router -> tropical_matmul,3,0.014400070432304976,0.6666666666666666
linear_attention -> add,3,0.013814294610328412,0.6666666666666666
tropical_add -> shared_basis_proj,3,0.013483748029685272,1.0
add -> linear_proj_up,3,0.011809066652672819,1.0
shared_basis_proj -> padic_gate,3,0.01305889342433645,1.0
conv_only -> add,3,0.012005797348126485,1.0
input -> rmsnorm_pre,3,0.012216407722258132,1.0
low_rank_proj -> split2,3,0.014377549474825233,1.0
concat -> grouped_linear,3,0.012937805076074088,0.6666666666666666
split3 -> learnable_scale,3,0.013794075868042738,0.6666666666666666
split2 -> clifford_attention,3,0.013312692817242984,1.0
poincare_add -> tied_proj,3,0.013513487307542087,1.0
concat -> low_rank_proj,3,0.013498350951372008,1.0
tropical_moe -> tropical_gate,3,0.012479999784069294,1.0
padic_gate -> grouped_linear,3,0.013739009028256139,0.6666666666666666
neg -> concat,3,0.01246679515224368,0.6666666666666666
padic_gate -> add,3,0.013322597307502404,1.0
rmsnorm -> relu_gate_routing,3,0.01008053100135011,0.6666666666666666
add -> bottleneck_proj,3,0.01008053100135011,0.6666666666666666
concat -> geometric_product,3,0.010987288684774636,1.0
layernorm -> selective_scan,3,0.010552372116332774,0.6666666666666666
concat -> semi_structured_2_4_linear,3,0.012607259518443414,1.0
add -> sin,3,0.01241674166286305,1.0
split2 -> lif_neuron,3,0.014527098352850439,1.0
lif_neuron -> concat,3,0.014527098352850439,1.0
concat -> progressive_compression_gate,3,0.013102189469601587,1.0
poincare_add -> concat,3,0.014223902699375164,1.0
token_type_classifier -> lane_router,3,0.009240941178752333,0.6666666666666666
linear_proj -> relu_gate_routing,3,0.008959324716322855,0.6666666666666666
layernorm -> nm_sparse_linear,3,0.012698047346834612,1.0
swiglu_mlp -> linear_proj,3,0.010556978784756246,0.6666666666666666
concat -> rwkv_channel,3,0.01363536313745757,0.6666666666666666
grouped_linear -> poincare_add,3,0.013371691977429483,1.0
split2 -> bottleneck_proj,3,0.01484022880545921,1.0
input -> log,3,0.013142361470111137,1.0
learnable_scale -> linear_proj_up,3,0.010431415191951149,1.0
linear_proj_up -> abs,3,0.010431415191951149,1.0
abs -> layernorm,3,0.010431415191951149,1.0
rmsnorm_pre -> no_norm,3,0.013346234040953843,1.0
input -> token_pool_restore,3,0.011849908415484972,0.6666666666666666
add -> gelu,3,0.011675925905088579,0.6666666666666666
gelu -> semi_structured_2_4_linear,3,0.011356668926175822,0.6666666666666666
dynamic_norm -> gelu,3,0.012320207518813487,0.6666666666666666
moe_topk -> neg,3,0.01104405408194879,1.0
semi_structured_2_4_linear -> moe_2expert,3,0.013518966472418627,1.0
gated_linear -> gated_linear,3,0.012193478582688669,0.6666666666666666
gated_linear -> nm_sparse_linear,3,0.012193478582688669,0.6666666666666666
nm_sparse_linear -> topk_gate,3,0.012193478582688669,0.6666666666666666
add -> semi_structured_2_4_linear,3,0.014216269752530134,1.0
moe_topk -> topk_gate,3,0.010565690401077512,1.0
topk_gate -> block_sparse_linear,3,0.010927341240422666,1.0
sqrt -> add,3,0.013264097651163835,1.0
gelu -> gated_linear,3,0.011432038380976702,0.6666666666666666
gated_linear -> square,3,0.010141716689637844,0.6666666666666666
sliding_window_mask -> linear_proj_up,3,0.014146259537664017,1.0
input -> conv_only,3,0.014678085668506216,1.0
sin -> ternary_projection,3,0.01235044155334295,1.0
log -> add,3,0.011250034869372849,1.0
